Applicant_ID,Current_position,Current_jd
2,Writer for the Uloop Blog Volunteer,"* Wrote articles for the ""Uloop Blog,"" which is a site mostly read by students of all schools within the United States.
* One of the articles written had received a high readership, making it one of the top articles read on that site for several weeks. * Read aloud Meir Schneider's books and recorded audio for visually impaired."
38,Sales Person & Phone Receptionist,"Asking customer if they need any assistance and also checking extra sizes in the warehouse and also doing special orders for them. Lastly being an dressing room monitor and also cleaning up the store.
"
78,Impact team member,"Help maintain merchandise flow, Work on filling and presenting store standards and stockroom, Back-stock merchandise, Perform various tasks which includes interacting with costumers and operating scanning systems and merchandise. 
"
89,Healthcare Specialist / Combat Medic Clerk's helper,"Clinical and field medicine, Healthcare education, Food and medicine distribution, PA assistant, Line medic for 16-20 front-line personnel, Healthcare information systems data entry, Medical supply maintenance, US Govt. Secret Clearance. Customer Service, Front desk customer assistance, Stockroom maintenance, Elderly/disabled customer product assistance, Scheduling management assistant"
96,Cashier Receptionist Cashiet/Waiter,"Greeting people and introducing/recommend food items on menu. Taking order on Pos and on phone to take out. Cleaning tables and put away plates.  Greeting professors and faculty staff.  Place table for customers, provide water or tea when they sit down, taking orders from customers to the pos system. "
122,Greetor,"Table touches, customer services"
153,Photographer Banker  Front Desk Agent Operations Supervisor,"•	Captured memories and experiences for families, groups, and individuals.
•	Provided passionate high-energy customer service with every customer interaction. 
•	Responsible for proactively engaging fans throughout professional and collegiate sporting and entertainment venues.
 •	Exceeded monthly and quarterly goals by proactively selling products and services to customers and referring customers to other segment partners (e.g. business, lending, and investment).
•	Provided branch staff with coaching and guidance on core products and special programs to increase team partnership referrals.
•	Established and maintained professional relationships with customer s to ensure repeat and referral business.
 •	Greeted and assisted guest with reservations, events, check-ins, and checkouts.
•	Utilized upsell opportunities to promote all outlets, including hotel bar, restaurant, and club specials.
•	Responded promptly to guest inquires, request, questions, and complaints.
•	Provided exceptional customer experiences.
 •	Resolved customer situations effectively while delivering the best customer service and ensuring the highest level of customer satisfaction. 
•	Supervised and coached tellers with handling various transactions.
•	Maintained cash control and monetary transaction processes according to federal regulations.
"
183,Server/Busser/Host,"Server, food runner, busser, host"
188,Beauty Advisor Sales Associate,"sell cosmetics,work at register, inventory Stock clothing,greet customers,inventory,closing."
192,Administrative Assistant,"answering incoming calls, and directing them to the requested person. printing out blue prints, faxing over bids. filing, data entry, mailing out invoices."
194,Teacher,Supervised children ages 2-5. Implemented curriculum based on children learning development. Assisted director whenever needed. Contact with parents on Childs learning development and parent teacher conferences.
198,Phlebotomist,"Obtaining blood samples, releasing test results and logging data."
208,Hostess Digital Design Intern,"*	Assist with food sales by taking and managing to-go orders in a timely and efficient manner. 
*	Promote brand consistency by using verbal and visual aides of corporate standards such as; maintaining a pleasant and enthusiastic appearance, suggesting current sales and discounts, volunteering my help and knowledge regarding any questions concerning the company.
*	Support front-of-house employees by offering beverages, bringing food to tables and helping clean tables after customer use. 
*	Take and record reservations, messages for my supervisor and continually keep track of any such phone calls to make sure that all were addressed in a timely fashion. 
 *	Create and design power-point presentations, flyers, event notices, infographics for the web and print. Supported the development of an internal mobile/web design for the coverage of the 2012 election.
*	Attend bi-weekly meetings with a communications team of seven people including the communications director as well as designers, programmers and videographer. Responsible to report on the status of my work and assisted members on other work as needed.
*	Edit/revise several client projects which included infographic work, photographic edits and formatting changes. I also designed original pieces such as; infographics for Saving Promise and a side-by-side client competitive analysis document which was used to obtain the endorsement of a prospective client.
*	Fulfill administrative duties such as client and in-house research updates via excel, powerpoint, word and photoshop; weekly internship meetings and contributor to VOX internship blog.
"
210,Laboratory Assistant,Maintained lab and chemical supplies throughout the facilities; handled hazardous waste
215,Sales person,I worked in a small supermarket as a cashier over summer in 2012.
219,Hostess,Reservationist during the day and hostess at night
220,"Waiter,  Food Server Catering","* Provided excellent customer service in a bustling family-dining establishment
Â·           Maintained composure and friendly, professional demeanor under stressful, pressuring environment 
Â·           Smoothly coordinating service of multiple diners simultaneously
 *           Settings, serving and catering coordination 
*           Help in the kitchen making salads, sandwiches and platters."
221,Service Shoe/Womens Specialist Attractions Associate,"I assist customers by seeking out the customerâ€™s needs and making sure I am available to provide assistance. Maintain product presentation and make adjustments to how the merchandise is displayed and replenish products as needed. I keep myself knowledgeable of materials and sizing for shoes. Also, serve as a cashier with knowledge of both stationary POS and mobile POS system.  Served as an attractions associate, operating rides and heavy machinery; assisting guest on and off the attractions while providing a welcoming environment. I maintained cleanliness of the area and attractions during morning and evening shifts. As well as filing proper counts and paperwork for the day. "
222,Digital Strategist,Digital Nomad exploring The Webs searching for Bitcoins !
227,Customer Service,retail/cashier/customer service at kiosk in sunvalley mall [seasonal]
230,Server,"Table service, cashier service, food conferences, trade shows, cooking demonstrations, food preparation, catering service, maintenance.

Owner: 'Sheana' 
(707) 235 - 9530
sheana@vom.com"
239,Sales Associate,"* Greet customers
* Open/close registers
* Recovery
"
244,Cashier/Sandwich Maker,"Handle cash and greet guests, make stock shelves and clean area. Make accurate transactions and promote upsell. Also, make sandwiches and pizza. Be a food-runner and make food fast and wonderful to eat."
247,Crew Member,"Cashier, Demo, Facing, Back Stocking, Customer Service "
249,"Server, Busser, Food Runner, Private Event Bar Tender Server",server up two 6-8 tables at a time in a busy cafe restaurant for up to a 8 hour shift. have private event bar tending skills as well.   server up to 4 tables during lunch shifts in  fine dinning  near at&t park.  
252,"Busser, Dishwasher","washed dishes and did food prep as dishwasher. Bussed tables, refilled water and other drinks, served food, took orders as a busser"
